code,constituency,electorate,turnout,winning_party,previous_party,gain,second_party,majority,all,brx,con,dup,grn,ind,lab,lib,oth,plc,sdl,snf,snp,spk,ukp,uup
E14000530,Aldershot,72617,47932,con,con,FALSE,lab,16698,0,0,27980,0,1750,0,11282,6920,0,0,0,0,0,0,0,0
E14000531,Aldridge-Brownhills,60138,39342,con,con,FALSE,lab,19836,0,0,27850,0,771,0,8014,2371,336,0,0,0,0,0,0,0
E14000532,Altrincham & Sale West,73096,54763,con,con,FALSE,lab,6139,0,0,26311,0,1566,224,20172,6036,454,0,0,0,0,0,0,0
E14000533,Amber Valley,69976,45567,con,con,FALSE,lab,16886,0,0,29096,0,1388,0,12210,2873,0,0,0,0,0,0,0,0
E14000534,Arundel & South Downs,81726,61408,con,con,FALSE,lib,22521,0,0,35566,0,2519,556,9722,13045,0,0,0,0,0,0,0,0
E14000535,Ashfield,78204,48980,con,lab,TRUE,oth,5733,0,2501,19231,0,674,0,11971,1105,13498,0,0,0,0,0,0,0
E14000536,Ashford,89550,60059,con,con,FALSE,lab,24029,0,0,37270,0,2638,862,13241,6048,0,0,0,0,0,0,0,0
E14000537,Ashton-under-Lyne,68497,38559,lab,lab,FALSE,con,4263,0,3131,14281,0,1208,0,18544,1395,0,0,0,0,0,0,0,0
E14000538,Aylesbury,86665,60576,con,con,FALSE,lab,17373,0,0,32737,0,2394,0,15364,10081,0,0,0,0,0,0,0,0
E14000539,Banbury,90113,62921,con,con,FALSE,lab,16813,0,0,34148,0,2607,0,17335,8831,0,0,0,0,0,0,0,0
E14000540,Barking,77946,44499,lab,lab,FALSE,con,15427,0,3186,11792,0,820,0,27219,1482,0,0,0,0,0,0,0,0
E14000541,"Barnsley, Central",65277,36903,lab,lab,FALSE,brx,3571,0,11233,7892,0,900,188,14804,1176,710,0,0,0,0,0,0,0
E14000542,"Barnsley, East",69504,38070,lab,lab,FALSE,brx,3217,0,11112,10377,0,922,0,14329,1330,0,0,0,0,0,0,0,0
E14000543,Barrow & Furness,70158,46046,con,ind,TRUE,lab,5789,0,1355,23876,0,703,0,18087,2025,0,0,0,0,0,0,0,0
E14000544,Basildon & Billericay,69906,44128,con,con,FALSE,lab,20412,0,0,29590,0,1395,0,9178,3741,224,0,0,0,0,0,0,0
E14000545,Basingstoke,82926,54713,con,con,FALSE,lab,14198,0,0,29593,0,2138,0,15395,6841,746,0,0,0,0,0,0,0
E14000546,Bassetlaw,80035,50841,con,lab,TRUE,lab,14013,0,5366,28078,0,0,0,14065,3332,0,0,0,0,0,0,0,0
E14000547,Bath,67725,52138,lib,lib,FALSE,con,12322,0,642,16097,0,0,341,6639,28419,0,0,0,0,0,0,0,0
E14000548,Batley & Spen,79558,52927,lab,lab,FALSE,con,3525,0,1678,19069,0,692,0,22594,2462,6432,0,0,0,0,0,0,0
E14000549,Battersea,79309,59977,lab,lab,FALSE,con,5668,0,386,21622,0,1529,0,27290,9150,0,0,0,0,0,0,0,0
E14000550,Beaconsfield,77720,57868,con,ind,TRUE,ind,15712,0,0,32477,0,2033,16765,5756,0,0,0,0,0,0,0,0,0
E14000551,Beckenham,68671,50555,con,con,FALSE,lab,14258,0,0,27282,0,2055,0,13024,8194,0,0,0,0,0,0,0,0
E14000552,Bedford,71579,47301,lab,lab,FALSE,con,145,0,896,20346,0,960,0,20491,4608,0,0,0,0,0,0,0,0
E14000553,Bermondsey & Old Southwark,93313,58615,lab,lab,FALSE,lib,16126,0,1617,9678,0,0,0,31723,15597,0,0,0,0,0,0,0,0
E14000554,Berwick-upon-Tweed,59939,42109,con,con,FALSE,lab,14835,0,0,23947,0,1394,0,9112,7656,0,0,0,0,0,0,0,0
E14000555,Bethnal Green & Bow,88169,60562,lab,lab,FALSE,con,37524,0,1081,6528,0,2570,0,44052,5892,439,0,0,0,0,0,0,0
E14000556,Beverley & Holderness,79683,53542,con,con,FALSE,lab,20448,0,0,33250,0,1378,0,12802,4671,1441,0,0,0,0,0,0,0
