pcon17cd,imd,decile,pop
E14000530,12.633333333333333,9,105601
E14000531,18.25,7,77476
E14000532,13.737974683544303,9,101861
E14000533,19.396551724137932,6,90620
E14000534,11.43302752293578,10,101579
E14000535,24.39080459770115,4,107100
E14000536,17.246464646464645,7,123871
E14000537,32.883720930232556,1,92602
E14000538,10.622549019607844,10,123732
E14000539,12.726262626262626,9,124450
E14000540,35.03814432989691,1,140733
E14000541,28.106944444444444,3,91272
E14000542,33.2375,1,95016
E14000543,27.74,3,86728
E14000544,20.43076923076923,6,96192
E14000545,12.744303797468355,9,114883
E14000546,23.45777777777778,4,107497
E14000547,13.574193548387097,9,97227
E14000548,23.376344086021504,4,111704
E14000549,18.8025641025641,6,117649
E14000550,11.673387096774194,10,102799
E14000551,12.02962962962963,9,93099
E14000552,21.669620253164556,5,106761
E14000553,30.31010101010101,2,146406
E14000554,18.8109375,6,75832
E14000555,36.98876404494382,1,150337
E14000556,19.682417582417582,6,100605
E14000557,16.172916666666666,8,106127
E14000558,15.892207792207792,8,94574
E14000559,40.915151515151514,1,90212
E14000560,31.12696629213483,2,105856
E14000561,41.0144578313253,1,104071
E14000562,38.363829787234046,1,120133
E14000563,48.74,1,129538
E14000564,49.72300884955752,1,147715
E14000565,34.02804878048781,1,103918
E14000566,37.13333333333333,1,112444
E14000567,27.74943820224719,3,110024
E14000568,37.86292134831461,1,113280
E14000569,26.256410256410255,3,89415
E14000570,33.33289473684211,1,109457
E14000571,43.43928571428572,1,122538
E14000572,32.391780821917806,2,83162
E14000573,43.70909090909091,1,79455
E14000574,18.224390243902437,7,87978
E14000575,23.096875,4,84340
E14000576,19.836986301369862,6,107223
E14000577,24.18910891089109,4,99175
E14000578,29.08101265822785,2,98389
E14000579,32.75595238095238,2,106388
E14000580,20.83225806451613,5,95976
E14000581,40.12235294117647,1,99639
E14000582,28.01298701298701,3,107531
E14000583,13.049425287356321,9,105602
E14000584,19.801333333333332,6,107023
E14000585,21.03,5,105337
E14000586,9.959574468085107,10,111993
E14000587,40.14408602150537,1,119261
E14000588,32.312380952380956,2,105865
E14000589,39.53214285714286,1,118764
E14000590,15.114634146341464,8,100884
E14000591,30.791836734693877,2,149140
E14000592,20.23894736842105,6,136270
E14000593,18.341747572815535,7,135834
E14000594,12.541666666666666,9,96515
E14000595,20.79230769230769,5,113714
E14000596,17.60875,7,88904
E14000597,28.608955223880596,3,96557
E14000598,21.825,5,113318
E14000599,24.613829787234042,4,101133
E14000600,21.066666666666666,5,106446
E14000601,30.209876543209877,2,113670
E14000602,24.448863636363637,4,142156
E14000603,15.020388349514564,8,99170
E14000604,19.196774193548386,6,96043
E14000605,18.174380165289257,7,98662
E14000606,16.653333333333332,7,102242
E14000607,20.003809523809522,6,98046
E14000608,9.834920634920636,10,106292
E14000609,31.485185185185184,2,88527
E14000610,17.61860465116279,7,107249
E14000611,19.95072463768116,6,89808
E14000612,22.184782608695652,5,100300
E14000613,13.706521739130435,9,118041
E14000614,19.642990654205608,6,104849
E14000615,32.331818181818186,2,132209
E14000616,25.214666666666666,4,92978
E14000617,13.56,9,116540
E14000618,19.442857142857143,6,100109
E14000619,16.33132530120482,8,120042
E14000620,22.4765625,5,86496
